participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
448,1,1680.1700000069104,badger,67,100,65,8,10YR3/6,62,1347109,block2_target_trial
321,1,2188.8250000192784,bracelet,11,254,185,179,5R8/6,20,108155,block1_target_trial
640,1,5716,diner,23,244,150,0,10YR7/14,20,85121,block1_target_trial
266,1,4988.9449999900535,discomfort,55,190,26,52,5R4/14,30,304753,block1_target_trial
588,1,2400.219999952242,diner,13,252,190,0,5Y8/14,133,409830,block2_target_trial
77,1,9525.28500003973,freedom,40,96,151,219,5PB6/10,46,285541,block1_target_trial
321,1,3927.425000001677,weariness,68,76,74,29,10Y3/4,21,112586,block1_target_trial
448,1,2093.4399999969173,elegance,28,99,185,228,10B7/8,64,1351673,block2_target_trial
271,1,1991.5750000072876,democracy,72,0,79,142,10B3/10,101,469901,block2_target_trial
113,1,2596.300000004703,needle,16,151,214,204,5BG8/4,103,1032265,block2_target_trial
588,1,1540.2549999998882,tree,47,54,142,15,10GY5/12,135,414382,block2_target_trial
321,1,3783.545000012964,tie,44,216,65,0,10R5/16,22,116874,block1_target_trial
266,1,5400.309999997262,train,80,46,52,38,5GY2/2,31,310688,block1_target_trial
448,1,3109.0799999944866,modesty,20,246,186,205,5RP8/6,66,1357825,block2_target_trial
321,1,2632.9900000127964,mirror,21,202,202,202,N8,23,120010,block1_target_trial
640,1,11266,skin,1,255,225,176,10YR9/4,21,96891,block1_target_trial
77,1,7197.675000003073,tie,55,190,26,52,5R4/14,47,293260,block1_target_trial
588,1,1384.5149999833666,needle,39,0,174,198,5B6/10,137,418515,block2_target_trial
266,1,3084.934999991674,passion,38,0,173,154,5BG6/10,32,314312,block1_target_trial
113,1,3753.4900000027847,magazine,31,238,151,162,10RP7/8,105,1040093,block2_target_trial
77,1,2073.824999970384,kangaroo,35,187,139,0,5Y6/10,48,295843,block1_target_trial
321,1,2615.60499999905,shyness,10,233,232,231,N9,24,123129,block1_target_trial
640,1,2723,cabinet,35,187,139,0,5Y6/10,22,100130,block1_target_trial
271,1,6714.169999992009,regret,66,137,34,17,10R3/10,103,479949,block2_target_trial
321,1,1735.4700000141747,tree,25,103,196,96,10GY7/10,25,125373,block1_target_trial
266,1,4929.9649999593385,dream,25,103,196,96,10GY7/10,33,319784,block1_target_trial
448,1,5249.834999995073,train,87,59,58,58,N2,68,1365893,block2_target_trial
640,1,4580,flag,39,0,174,198,5B6/10,23,105223,block1_target_trial
271,1,1649.4750000128988,notion,48,0,149,112,10G5/10,105,484941,block2_target_trial
113,1,3546.1100000247825,discomfort,44,216,65,0,10R5/16,107,1047435,block2_target_trial
448,1,2099.9499999890104,regret,55,190,26,52,5R4/14,70,1370753,block2_target_trial
77,1,8594.809999980498,bracelet,41,170,136,191,5P6/8,49,304945,block1_target_trial
640,1,3354,panther,87,59,58,58,N2,24,109085,block1_target_trial
